Mã đặt chỗ,Ngày đặt tour,Ngày đi tour,Mã khách hàng,Nhóm khách hàng,Loại tour,Kênh bán hàng,Kênh thanh toán,Địa điểm,Số lượng người đi,Giá gốc (VND),Giảm giá,Mức độ hoàn thành,Giá cuối cùng,Mức độ hài lòng,Trở lại sử dụng dịch vụ
B02394,6/13/2023,7/8/2023,C0817,Người đi làm,Khám phá,Đại lý,Thẻ,Nha Trang,1,5098000,15%,Hoàn thành,4308000,4.5,Sai
B02395,6/13/2023,6/28/2023,C0641,Người đi làm,Văn hóa,App điện thoại,Tiền,Hạ Long,2,2798000,16%,Hoàn thành,4710000,4.3,Đúng
B02396,6/14/2023,8/13/2023,C0500,Người đi làm,Gia đình,Website,Thẻ,Khác,1,3217000,13%,Hoàn thành,2804000,4.1,Đúng
B02397,6/15/2023,6/24/2023,C0818,Học sinh,Khám phá,Đại lý,Thẻ,Huế,2,5382000,13%,Hoàn thành,9337000,4.1,Sai
B02398,6/16/2023,7/7/2023,C0710,Gia đình,City Break,Website,Thẻ,Hội An,3,1585000,10%,Hoàn thành,4262000,4.2,Đúng
B02399,6/16/2023,8/18/2023,C0468,Học sinh,Biển,Website,Tiền,Khác,2,3743000,8%,Hoàn thành,6887000,4.5,Đúng
B02400,6/16/2023,8/8/2023,C0819,Người đi làm,City Break,App điện thoại,Thẻ,Đà Nẵng,1,2726000,13%,Hoàn thành,2377000,4.9,Sai
B02401,6/16/2023,8/25/2023,C0604,Người đi làm,Khám phá,Website,Thẻ,TP.HCM,1,5383000,7%,Hoàn thành,5004000,4.8,Đúng
B02402,6/16/2023,8/29/2023,C0590,Doanh nghiệp,Gia đình,Đại lý,Thẻ,TP.HCM,3,3394000,9%,Hoàn thành,9262000,4.4,Đúng
B02403,6/17/2023,6/28/2023,C0338,Học sinh,Văn hóa,Website,Thẻ,Nha Trang,2,3735000,0%,Hoàn thành,7453000,4.4,Đúng
B02404,6/18/2023,8/28/2023,C0717,Người đi làm,Gia đình,Website,Thẻ,Hội An,2,2622000,15%,Hoàn thành,4475000,3.1,Đúng
B02405,6/18/2023,8/20/2023,C0028,Doanh nghiệp,Biển,Website,Chuyển khoản,Sa Pa,4,3964000,16%,Hoàn thành,13316000,3.8,Đúng
B02406,6/18/2023,8/22/2023,C0820,Học sinh,Biển,App điện thoại,Thẻ,Đà Lạt,1,3519000,7%,Hoàn thành,3260000,4,Sai
B02407,6/18/2023,8/23/2023,C0821,Gia đình,Ăn uống,Đại lý,Chuyển khoản,Hạ Long,1,2838000,8%,Hoàn thành,2602000,3.5,Sai
B02408,6/18/2023,8/3/2023,C0822,Doanh nghiệp,Văn hóa,Website,Phương thức khác,Hà Nội,3,3086000,13%,Hoàn thành,8017000,4.2,Sai
B02409,6/19/2023,8/4/2023,C0823,Doanh nghiệp,City Break,Website,Thẻ,Hà Nội,1,2825000,10%,Hoàn thành,2538000,4.7,Sai
B02410,6/19/2023,8/8/2023,C0470,Người đi làm,Gia đình,Website,Thẻ,Huế,1,3449000,10%,Hoàn thành,3103000,3.4,Đúng
B02411,6/19/2023,9/8/2023,C0054,Người đi làm,Biển,Website,Thẻ,Hạ Long,2,3837000,10%,Hoàn thành,6886000,4.2,Đúng
B02412,6/19/2023,7/7/2023,C0824,Gia đình,Gia đình,Đại lý,Tiền,Nha Trang,2,4003000,5%,Hoàn thành,7642000,4.2,Sai
B02413,6/20/2023,8/24/2023,C0825,Doanh nghiệp,Biển,Website,Thẻ,Hạ Long,2,4035000,13%,Hoàn thành,7060000,4.4,Sai
B02414,6/20/2023,9/13/2023,C0340,Học sinh,Biển,Website,Tiền,Hạ Long,1,4411000,8%,Hoàn thành,4078000,3,Đúng
B02415,6/20/2023,8/27/2023,C0826,Doanh nghiệp,City Break,Gọi điện tư vấn,Thẻ,Hội An,1,1556000,14%,Hoàn thành,1343000,3.4,Sai
B02416,6/20/2023,7/29/2023,C0827,Người đi làm,City Break,App điện thoại,Phương thức khác,Đà Nẵng,2,2765000,8%,Hoàn thành,5096000,4.8,Sai
B02417,6/21/2023,8/17/2023,C0707,Khác,Biển,Website,Thẻ,Hạ Long,1,4351000,11%,Hoàn thành,3886000,4.8,Đúng
B02418,6/21/2023,7/22/2023,C0388,Khác,Khám phá,Website,Thẻ,TP.HCM,2,5541000,12%,Hoàn thành,9784000,4.2,Đúng
B02419,6/21/2023,8/8/2023,C0722,Người đi làm,Gia đình,Đại lý,Ví điện tử,Nha Trang,1,3741000,4%,Hoàn thành,3578000,4.7,Đúng
B02420,6/22/2023,8/10/2023,C0585,Người đi làm,Biển,Website,Thẻ,Sa Pa,1,3796000,14%,Hoàn thành,3249000,4.6,Đúng
B02421,6/22/2023,8/1/2023,C0395,Học sinh,Biển,Đại lý,Thẻ,Sa Pa,1,4320000,8%,Hoàn thành,3977000,4.4,Đúng
B02422,6/22/2023,7/18/2023,C0828,Người đi làm,Gia đình,Website,Thẻ,Phú Quốc,1,3663000,8%,Hoàn thành,3374000,4.2,Sai
B02423,6/22/2023,7/19/2023,C0631,Học sinh,Văn hóa,Website,Ví điện tử,Phú Quốc,1,2990000,12%,Hoàn thành,2617000,5,Đúng
B02424,6/23/2023,8/17/2023,C0279,Người đi làm,Biển,App điện thoại,Thẻ,Đà Lạt,5,3212000,12%,Hoàn thành,14121000,4.9,Đúng
B02425,6/23/2023,8/10/2023,C0264,Gia đình,Khám phá,Đại lý,Thẻ,Hà Nội,4,4955000,5%,Hoàn thành,18844000,4.7,Đúng
B02426,6/23/2023,9/4/2023,C0829,Doanh nghiệp,Biển,Website,Tiền,Hạ Long,2,4003000,10%,Hoàn thành,7187000,4.2,Sai
B02427,6/23/2023,8/20/2023,C0830,Người đi làm,Gia đình,Website,Thẻ,Nha Trang,3,3807000,16%,Hoàn thành,9595000,4,Sai
B02428,6/23/2023,8/3/2023,C0831,Gia đình,Biển,Website,Thẻ,Đà Nẵng,3,4647000,14%,Hoàn thành,11966000,4,Sai
B02429,6/24/2023,8/17/2023,C0832,Học sinh,City Break,App điện thoại,Thẻ,Huế,3,2034000,17%,Hoàn thành,5039000,4.8,Sai
B02430,6/24/2023,7/31/2023,C0286,Doanh nghiệp,Gia đình,Website,Ví điện tử,Hội An,1,2850000,12%,Hoàn thành,2502000,4.2,Đúng
B02431,6/25/2023,7/7/2023,C0833,Học sinh,City Break,Website,Thẻ,Nha Trang,1,2644000,9%,Hoàn thành,2402000,3.9,Sai
B02432,6/26/2023,7/10/2023,C0469,Người đi làm,Biển,Website,Chuyển khoản,Hạ Long,2,4294000,16%,Hoàn thành,7176000,5,Đúng
B02433,6/27/2023,7/24/2023,C0834,Người đi làm,Văn hóa,Website,Thẻ,Đà Lạt,4,2553000,13%,Hủy bỏ,0,,Sai
B02434,6/27/2023,8/10/2023,C0518,Người đi làm,Văn hóa,Khác,Thẻ,Hà Nội,2,2788000,7%,Hoàn thành,5173000,4.4,Đúng
B02435,6/28/2023,8/30/2023,C0835,Gia đình,Ăn uống,App điện thoại,Phương thức khác,Huế,3,2712000,15%,Hoàn thành,6901000,4.7,Sai
B02436,6/28/2023,7/31/2023,C0701,Người đi làm,Gia đình,Website,Chuyển khoản,Đà Nẵng,3,3819000,15%,Hoàn thành,9753000,3.3,Đúng
B02437,6/28/2023,9/22/2023,C0602,Người đi làm,Văn hóa,Website,Thẻ,Hạ Long,4,2626000,15%,Hoàn thành,8976000,4.1,Đúng
B02438,6/28/2023,7/10/2023,C0601,Gia đình,Khám phá,Khác,Tiền,Đà Nẵng,1,6012000,13%,Hoàn thành,5214000,4.4,Đúng
B02439,6/29/2023,8/16/2023,C0836,Gia đình,City Break,Website,Chuyển khoản,Phú Quốc,4,2246000,10%,Hoàn thành,8075000,4.2,Sai
B02440,6/29/2023,9/10/2023,C0837,Học sinh,Biển,Website,Thẻ,Nha Trang,2,4328000,5%,Hoàn thành,8189000,4.3,Sai
B02441,6/30/2023,7/18/2023,C0838,Người đi làm,Khám phá,Khác,Thẻ,Hạ Long,1,5810000,14%,Hoàn thành,4985000,4,Sai
B02442,7/1/2023,7/27/2023,C0359,Gia đình,Biển,Website,Thẻ,Hội An,1,4559000,12%,Hoàn thành,4028000,4.1,Đúng
B02443,7/1/2023,8/11/2023,C0839,Người đi làm,Văn hóa,Website,Chuyển khoản,Đà Nẵng,1,2721000,11%,Hoàn thành,2433000,4.6,Sai
B02444,7/1/2023,8/23/2023,C0279,Người đi làm,Gia đình,App điện thoại,Tiền,Nha Trang,1,3685000,16%,Hoàn thành,3113000,4.1,Đúng
B02445,1/7/2023,8/25/2023,C0198,Gia đình,Gia đình,Website,Thẻ,Đà Nẵng,2,3703000,14%,Hoàn thành,6394000,4.1,Đúng
B02446,7/2/2023,8/1/2023,C0840,Khác,City Break,App điện thoại,Thẻ,Đà Nẵng,4,2602000,7%,Hoàn thành,9715000,4,Sai
B02447,7/2/2023,8/28/2023,C0841,Người đi làm,Văn hóa,Website,Thẻ,Khác,1,2969000,8%,Hoàn thành,2723000,4.7,Sai
B02448,7/2/2023,8/5/2023,C0842,Người đi làm,Gia đình,Đại lý,Chuyển khoản,Hạ Long,3,3850000,13%,Hoàn thành,10000000,4.5,Sai
B02449,7/2/2023,9/25/2023,C0573,Gia đình,Gia đình,Khác,Phương thức khác,Hà Nội,4,3022000,9%,Hoàn thành,11017000,4.6,Đúng
B02450,7/2/2023,7/29/2023,C0399,Học sinh,Gia đình,App điện thoại,Ví điện tử,Đà Lạt,2,2955000,9%,Hoàn thành,5359000,4.5,Đúng
B02451,7/4/2023,8/29/2023,C0149,Gia đình,Biển,Đại lý,Chuyển khoản,Hội An,1,4169000,17%,Hoàn thành,3454000,3.9,Đúng
B02452,7/4/2023,9/15/2023,C0616,Gia đình,Văn hóa,Đại lý,Thẻ,Đà Lạt,1,2375000,13%,Hoàn thành,2071000,4.3,Đúng
B02453,7/4/2023,9/3/2023,C0843,Doanh nghiệp,Văn hóa,Website,Chuyển khoản,Đà Nẵng,2,2676000,17%,Hoàn thành,4432000,5,Sai
B02454,7/4/2023,8/2/2023,C0844,Gia đình,City Break,Website,Tiền,Sa Pa,2,2276000,7%,Hoàn thành,4255000,3.7,Sai
B02455,7/5/2023,8/12/2023,C0159,Gia đình,Văn hóa,Website,Thẻ,Đà Nẵng,1,2904000,9%,Hoàn thành,2641000,5,Đúng
B02456,7/6/2023,10/26/2023,C0755,Học sinh,Biển,App điện thoại,Thẻ,Phú Quốc,3,3803000,10%,Hoàn thành,10252000,4.6,Đúng
B02457,7/6/2023,10/15/2023,C0845,Gia đình,Gia đình,Website,Thẻ,Nha Trang,3,3579000,19%,Hoàn thành,8648000,4.5,Sai
B02458,7/6/2023,8/19/2023,C0846,Gia đình,Gia đình,Đại lý,Thẻ,Nha Trang,1,3718000,9%,Hoàn thành,3379000,4,Sai
B02459,7/7/2023,8/20/2023,C0179,Người đi làm,Khám phá,Website,Ví điện tử,Hà Nội,1,5031000,9%,Hoàn thành,4573000,4.1,Đúng
B02460,7/8/2023,8/17/2023,C0847,Khác,Gia đình,Đại lý,Chuyển khoản,TP.HCM,2,3613000,13%,Hoàn thành,6298000,4.6,Sai
B02461,7/8/2023,8/15/2023,C0848,Người đi làm,Khám phá,Website,Thẻ,Đà Nẵng,2,5838000,14%,Hoàn thành,10011000,4.3,Sai
B02462,7/9/2023,8/20/2023,C0749,Học sinh,Biển,Đại lý,Tiền,Huế,1,3801000,7%,Hoàn thành,3517000,4.9,Đúng
B02463,7/10/2023,7/20/2023,C0626,Gia đình,Văn hóa,App điện thoại,Thẻ,Đà Nẵng,1,2618000,17%,Hủy bỏ,0,,Đúng
B02464,7/11/2023,9/5/2023,C0561,Gia đình,Biển,Website,Thẻ,Phú Quốc,2,3994000,8%,Hoàn thành,7372000,4.1,Đúng
B02465,7/11/2023,10/1/2023,C0849,Học sinh,Ăn uống,Website,Thẻ,Phú Quốc,1,2593000,11%,Hoàn thành,2320000,3.1,Sai
B02466,7/12/2023,7/18/2023,C0181,Gia đình,Khám phá,App điện thoại,Thẻ,Đà Lạt,1,4990000,13%,Hoàn thành,4358000,4.7,Đúng
B02467,7/12/2023,8/10/2023,C0562,Học sinh,Văn hóa,Khác,Ví điện tử,Hà Nội,3,2915000,7%,Hủy bỏ,0,,Đúng
B02468,7/12/2023,8/30/2023,C0850,Doanh nghiệp,Ăn uống,Website,Thẻ,Hội An,1,2236000,13%,Hoàn thành,1950000,4.2,Sai
B02469,7/13/2023,9/16/2023,C0150,Doanh nghiệp,Gia đình,App điện thoại,Tiền,Sa Pa,2,3017000,13%,Hủy bỏ,0,,Đúng
B02470,7/15/2023,9/2/2023,C0851,Người đi làm,Văn hóa,App điện thoại,Tiền,Nha Trang,3,3440000,6%,Hoàn thành,9700000,5,Sai
B02471,7/15/2023,9/24/2023,C0442,Gia đình,City Break,Đại lý,Thẻ,Đà Lạt,3,2135000,14%,Hoàn thành,5519000,4.7,Đúng
B02472,7/16/2023,8/15/2023,C0847,Học sinh,Biển,Đại lý,Thẻ,Khác,1,3556000,13%,Hoàn thành,3111000,3.6,Đúng
B02473,7/17/2023,8/24/2023,C0184,Gia đình,Gia đình,App điện thoại,Tiền,Hà Nội,2,3419000,8%,Hoàn thành,6291000,3.4,Đúng
B02474,7/17/2023,8/24/2023,C0852,Người đi làm,City Break,Website,Ví điện tử,Đà Nẵng,1,2769000,9%,Hoàn thành,2523000,3.9,Sai
B02475,7/17/2023,7/23/2023,C0710,Học sinh,Biển,Website,Chuyển khoản,Nha Trang,3,4391000,12%,Hủy bỏ,0,,Đúng
B02476,7/17/2023,9/3/2023,C0839,Gia đình,City Break,Website,Tiền,Nha Trang,1,2559000,11%,Hoàn thành,2278000,4.5,Đúng
B02477,7/18/2023,10/6/2023,C0347,Gia đình,Văn hóa,Website,Chuyển khoản,Hạ Long,3,2705000,11%,Hoàn thành,7216000,3.5,Đúng
B02478,7/19/2023,9/29/2023,C0853,Người đi làm,Văn hóa,Đại lý,Thẻ,Sa Pa,1,2513000,7%,Hoàn thành,2330000,4.4,Sai
B02479,7/19/2023,8/26/2023,C0568,Gia đình,Biển,App điện thoại,Thẻ,Phú Quốc,4,4148000,13%,Hủy bỏ,0,,Đúng
B02480,7/20/2023,10/13/2023,C0854,Doanh nghiệp,Biển,Website,Thẻ,Hạ Long,1,4016000,17%,Hoàn thành,3338000,3.8,Sai
B02481,7/20/2023,9/4/2023,C0825,Doanh nghiệp,Khám phá,Website,Chuyển khoản,Hội An,2,4828000,9%,Hoàn thành,8809000,4.5,Đúng
B02482,7/21/2023,9/1/2023,C0201,Gia đình,Khám phá,Đại lý,Thẻ,Đà Nẵng,4,5338000,7%,Hoàn thành,19933000,4.7,Đúng
B02483,7/22/2023,10/15/2023,C0479,Người đi làm,Ăn uống,Đại lý,Chuyển khoản,Khác,2,3076000,6%,Hoàn thành,5785000,4.1,Đúng
B02484,7/22/2023,7/28/2023,C0855,Gia đình,Khám phá,App điện thoại,Thẻ,Nha Trang,1,5081000,11%,Hoàn thành,4508000,4.2,Sai
B02485,7/23/2023,9/26/2023,C0620,Gia đình,City Break,Website,Thẻ,Nha Trang,2,2592000,15%,Hoàn thành,4414000,3.9,Đúng
B02486,7/24/2023,9/25/2023,C0470,Gia đình,Khám phá,Website,Thẻ,Nha Trang,3,5081000,11%,Hoàn thành,13635000,4.1,Đúng
B02487,7/25/2023,9/14/2023,C0302,Học sinh,Gia đình,Website,Thẻ,Phú Quốc,1,3154000,9%,Hoàn thành,2880000,4.2,Đúng
B02488,7/26/2023,8/12/2023,C0250,Người đi làm,Khám phá,App điện thoại,Thẻ,TP.HCM,1,5506000,8%,Hoàn thành,5047000,4.8,Đúng
B02489,7/26/2023,9/24/2023,C0558,Học sinh,Gia đình,Đại lý,Thẻ,Hội An,3,2631000,9%,Hủy bỏ,0,,Đúng
B02490,7/27/2023,9/26/2023,C0856,Học sinh,Gia đình,App điện thoại,Tiền,TP.HCM,1,3285000,7%,Hoàn thành,3052000,3.8,Sai
B02491,7/27/2023,9/25/2023,C0857,Học sinh,Văn hóa,Gọi điện tư vấn,Tiền,Đà Nẵng,1,2654000,8%,Hoàn thành,2446000,3.9,Sai
B02492,7/27/2023,10/8/2023,C0654,Học sinh,Gia đình,Website,Thẻ,Hội An,5,2713000,7%,Hoàn thành,12576000,3.5,Đúng
B02493,7/27/2023,8/19/2023,C0858,Gia đình,Văn hóa,Website,Tiền,Phú Quốc,3,2851000,10%,Hoàn thành,7671000,4.3,Sai
B02494,7/27/2023,9/4/2023,C0826,Gia đình,Biển,Website,Tiền,Phú Quốc,1,3620000,10%,Hoàn thành,3241000,3.6,Đúng
B02495,7/28/2023,8/24/2023,C0859,Học sinh,City Break,Website,Ví điện tử,Đà Lạt,1,2457000,15%,Hoàn thành,2086000,5,Sai
B02496,7/28/2023,9/20/2023,C0860,Khác,Khám phá,Website,Thẻ,Nha Trang,3,4976000,10%,Hoàn thành,13446000,4.1,Sai
B02497,7/28/2023,9/15/2023,C0426,Gia đình,Gia đình,App điện thoại,Thẻ,Khác,2,3075000,7%,Hủy bỏ,5741000,4.3,Đúng
B02498,7/28/2023,8/30/2023,C0861,Người đi làm,Khám phá,App điện thoại,Tiền,Hạ Long,2,6193000,11%,Hoàn thành,11033000,3.4,Sai
B02499,7/29/2023,9/23/2023,C0686,Gia đình,Văn hóa,Đại lý,Thẻ,Hà Nội,2,2623000,10%,Hoàn thành,4724000,4.1,Đúng
B02500,7/29/2023,9/18/2023,C0862,Người đi làm,Văn hóa,Website,Chuyển khoản,Phú Quốc,2,2571000,11%,Hoàn thành,4597000,3.3,Sai
B02501,7/29/2023,9/7/2023,C0863,Học sinh,Gia đình,App điện thoại,Thẻ,Hội An,1,2721000,5%,Hoàn thành,2581000,4.6,Sai
B02502,7/29/2023,8/26/2023,C0864,Gia đình,Khám phá,Khác,Thẻ,Hà Nội,1,4896000,16%,Hoàn thành,4099000,3.4,Sai
B02503,7/29/2023,10/4/2023,C0826,Gia đình,Khám phá,Gọi điện tư vấn,Chuyển khoản,Nha Trang,3,4729000,14%,Hoàn thành,12133000,4.3,Đúng
B02504,7/30/2023,9/16/2023,C0307,Học sinh,City Break,App điện thoại,Chuyển khoản,Đà Lạt,2,2383000,6%,Hoàn thành,4496000,3.7,Đúng
B02505,7/30/2023,9/14/2023,C0757,Người đi làm,Gia đình,Website,Chuyển khoản,Hà Nội,2,3071000,6%,Hoàn thành,5753000,3.8,Đúng
B02506,7/30/2023,9/26/2023,C0466,Học sinh,Văn hóa,Website,Thẻ,Phú Quốc,2,2543000,6%,Hoàn thành,4783000,3.8,Đúng
B02507,7/30/2023,9/1/2023,C0015,Gia đình,Gia đình,App điện thoại,Tiền,Khác,2,3150000,5%,Hoàn thành,5987000,4.4,Đúng
B02508,7/31/2023,9/19/2023,C0693,Doanh nghiệp,Ăn uống,Website,Thẻ,Phú Quốc,1,2552000,4%,Hoàn thành,2460000,3.9,Đúng
B02509,7/31/2023,9/16/2023,C0490,Học sinh,Gia đình,Website,Thẻ,Đà Lạt,1,2729000,7%,Hoàn thành,2535000,3.6,Đúng
B02510,7/31/2023,10/13/2023,C0865,Học sinh,City Break,App điện thoại,Thẻ,Huế,1,1906000,12%,Hoàn thành,1670000,4.2,Sai
B02511,8/1/2023,8/28/2023,C0866,Gia đình,Gia đình,Website,Thẻ,Đà Lạt,1,3377000,5%,Hoàn thành,3223000,3.9,Sai
B02512,8/3/2023,10/21/2023,C0174,Người đi làm,Biển,Website,Thẻ,Nha Trang,1,4101000,8%,Hoàn thành,3786000,4.4,Đúng
B02513,8/3/2023,9/11/2023,C0242,Người đi làm,Khám phá,App điện thoại,Thẻ,Hội An,1,4834000,12%,Hoàn thành,4274000,4.6,Đúng
B02514,8/5/2023,10/5/2023,C0198,Doanh nghiệp,Biển,Đại lý,Thẻ,Nha Trang,1,4222000,15%,Hoàn thành,3577000,4.2,Đúng
B02515,8/6/2023,10/9/2023,C0556,Doanh nghiệp,Văn hóa,Đại lý,Thẻ,Khác,1,2449000,3%,Hoàn thành,2379000,4.6,Đúng
B02516,8/6/2023,8/6/2023,C0867,Người đi làm,Gia đình,App điện thoại,Chuyển khoản,Huế,1,3460000,4%,Hoàn thành,3319000,4.1,Sai
B02517,8/6/2023,10/2/2023,C0868,Học sinh,Ăn uống,Website,Thẻ,Phú Quốc,3,2599000,10%,Hủy bỏ,0,,Sai
B02518,8/6/2023,10/27/2023,C0869,Gia đình,Gia đình,Khác,Chuyển khoản,Khác,4,2853000,12%,Hoàn thành,10011000,4.9,Sai
B02519,8/7/2023,10/31/2023,C0870,Học sinh,City Break,App điện thoại,Chuyển khoản,Nha Trang,2,2345000,8%,Hoàn thành,4323000,3.2,Sai
B02520,8/8/2023,9/16/2023,C0243,Doanh nghiệp,Biển,Website,Thẻ,Hội An,1,4112000,2%,Hoàn thành,4043000,4.2,Đúng
B02521,8/10/2023,9/18/2023,C0388,Doanh nghiệp,City Break,Website,Tiền,Phú Quốc,1,2215000,5%,Hủy bỏ,0,,Đúng
B02522,8/10/2023,9/6/2023,C0871,Gia đình,Văn hóa,Website,Thẻ,Hội An,3,2611000,11%,Hủy bỏ,0,,Sai
B02523,8/11/2023,9/29/2023,C0452,Gia đình,Biển,Website,Ví điện tử,Đà Nẵng,2,4100000,5%,Hoàn thành,7795000,4.6,Đúng
B02524,8/11/2023,9/13/2023,C0872,Khác,Biển,Website,Thẻ,Hội An,1,3980000,15%,Hoàn thành,3388000,4.4,Sai
B02525,8/11/2023,9/22/2023,C0873,Doanh nghiệp,City Break,Đại lý,Tiền,Hà Nội,1,2359000,9%,Hoàn thành,2140000,4.5,Sai
B02526,8/11/2023,9/20/2023,C0874,Doanh nghiệp,Khám phá,Website,Thẻ,Hội An,2,4731000,11%,Hoàn thành,8436000,4.9,Sai
B02527,8/12/2023,11/7/2023,C0722,Học sinh,Gia đình,Website,Chuyển khoản,Hà Nội,1,3124000,10%,Hoàn thành,2826000,3.9,Đúng
B02528,8/13/2023,9/26/2023,C0875,Người đi làm,Gia đình,Website,Chuyển khoản,Hạ Long,2,3544000,12%,Hoàn thành,6258000,4.1,Sai
B02529,8/13/2023,10/3/2023,C0131,Gia đình,Văn hóa,App điện thoại,Chuyển khoản,Phú Quốc,2,2491000,7%,Hoàn thành,4656000,5,Đúng
B02530,8/13/2023,10/28/2023,C0121,Gia đình,Biển,Website,Thẻ,Đà Nẵng,3,4365000,15%,Hoàn thành,11089000,4.3,Đúng
B02531,8/14/2023,11/29/2023,C0876,Doanh nghiệp,Biển,Website,Ví điện tử,Sa Pa,1,3769000,15%,Hoàn thành,3194000,4.2,Sai
B02532,8/15/2023,8/30/2023,C0877,Người đi làm,City Break,Đại lý,Thẻ,Đà Lạt,1,2424000,8%,Hủy bỏ,0,,Sai
B02533,8/15/2023,10/4/2023,C0768,Người đi làm,Khám phá,Đại lý,Thẻ,Hạ Long,4,5355000,5%,Hoàn thành,20264000,4.3,Đúng
B02534,8/16/2023,10/29/2023,C0798,Gia đình,Văn hóa,Website,Chuyển khoản,Hà Nội,1,2856000,15%,Hoàn thành,2418000,4.2,Đúng
B02535,8/16/2023,10/12/2023,C0469,Doanh nghiệp,Văn hóa,App điện thoại,Thẻ,Phú Quốc,1,2521000,5%,Hoàn thành,2383000,3.4,Đúng
B02536,8/17/2023,10/15/2023,C0749,Gia đình,Văn hóa,Website,Chuyển khoản,Đà Nẵng,2,2652000,11%,Hoàn thành,4736000,4.9,Đúng
B02537,8/17/2023,9/12/2023,C0878,Doanh nghiệp,Biển,Website,Thẻ,Hà Nội,1,4189000,15%,Hoàn thành,3569000,4.1,Sai
B02538,8/17/2023,10/12/2023,C0879,Doanh nghiệp,Văn hóa,Website,Thẻ,Đà Lạt,2,2490000,11%,Hoàn thành,4430000,3.6,Sai
B02539,8/17/2023,10/20/2023,C0880,Gia đình,Biển,App điện thoại,Tiền,Hạ Long,1,4105000,1%,Hoàn thành,4065000,4.2,Sai
B02540,8/17/2023,9/28/2023,C0881,Người đi làm,Khám phá,Website,Phương thức khác,Hà Nội,2,4643000,5%,Hoàn thành,8807000,3.9,Sai
B02541,8/17/2023,9/27/2023,C0835,Doanh nghiệp,Biển,App điện thoại,Thẻ,Hội An,1,4038000,10%,Hoàn thành,3627000,4.7,Đúng
B02542,8/17/2023,10/11/2023,C0882,Học sinh,City Break,Đại lý,Chuyển khoản,Đà Nẵng,1,2396000,7%,Hoàn thành,2219000,3.9,Sai
B02543,8/18/2023,10/16/2023,C0719,Người đi làm,Gia đình,App điện thoại,Thẻ,Nha Trang,3,3670000,17%,Hoàn thành,9132000,5,Đúng
B02544,8/18/2023,10/4/2023,C0172,Doanh nghiệp,Biển,Đại lý,Chuyển khoản,Phú Quốc,1,4048000,13%,Hoàn thành,3527000,4.1,Đúng
B02545,8/18/2023,10/4/2023,C0883,Học sinh,Biển,Website,Chuyển khoản,Hạ Long,1,4013000,11%,Hoàn thành,3590000,3.5,Sai
B02546,8/18/2023,10/14/2023,C0665,Doanh nghiệp,Biển,Website,Thẻ,Đà Lạt,2,3015000,14%,Hoàn thành,5200000,4,Đúng
B02547,8/19/2023,9/30/2023,C0686,Người đi làm,City Break,Website,Thẻ,Nha Trang,3,2486000,6%,Hoàn thành,7005000,4.1,Đúng
B02548,8/19/2023,9/20/2023,C0506,Người đi làm,Văn hóa,App điện thoại,Ví điện tử,TP.HCM,1,2359000,6%,Hoàn thành,2206000,5,Đúng
B02549,8/20/2023,10/21/2023,C0884,Gia đình,Khám phá,App điện thoại,Thẻ,Đà Nẵng,3,5485000,12%,Hoàn thành,14415000,4.6,Sai
B02550,8/20/2023,11/8/2023,C0885,Người đi làm,Biển,Website,Thẻ,Đà Nẵng,3,4570000,16%,Hoàn thành,11553000,4.1,Sai
B02551,8/20/2023,11/20/2023,C0886,Khác,Gia đình,App điện thoại,Thẻ,Khác,3,2953000,14%,Hủy bỏ,0,,Sai
B02552,8/20/2023,9/28/2023,C0009,Người đi làm,Văn hóa,Website,Tiền,Sa Pa,1,2265000,16%,Hoàn thành,1912000,4.6,Đúng
B02553,8/20/2023,9/24/2023,C0001,Học sinh,Gia đình,Website,Tiền,Đà Lạt,1,3093000,13%,Hoàn thành,2688000,4,Đúng
B02554,8/20/2023,10/19/2023,C0251,Người đi làm,Ăn uống,Website,Chuyển khoản,TP.HCM,2,2396000,11%,Hoàn thành,4272000,4,Đúng
B02555,8/21/2023,10/9/2023,C0478,Khác,City Break,Website,Chuyển khoản,TP.HCM,1,2616000,9%,Hủy bỏ,0,,Đúng
B02556,8/21/2023,10/27/2023,C0520,Học sinh,Biển,Khác,Thẻ,Khác,1,4541000,6%,Hoàn thành,4256000,4.5,Đúng
B02557,8/22/2023,10/15/2023,C0101,Người đi làm,Ăn uống,App điện thoại,Tiền,Huế,1,2475000,8%,Hủy bỏ,0,,Đúng
B02558,8/22/2023,10/30/2023,C0887,Gia đình,Biển,Website,Ví điện tử,Phú Quốc,2,4130000,8%,Hoàn thành,7603000,4.4,Sai
B02559,8/22/2023,10/31/2023,C0224,Gia đình,Biển,App điện thoại,Chuyển khoản,Huế,1,3340000,4%,Hoàn thành,3209000,4.6,Đúng
B02560,8/22/2023,11/21/2023,C0888,Gia đình,Văn hóa,Đại lý,Ví điện tử,Sa Pa,1,2260000,11%,Hoàn thành,2017000,4.2,Sai
B02561,8/23/2023,9/14/2023,C0889,Người đi làm,Văn hóa,Đại lý,Thẻ,Khác,1,2721000,9%,Hoàn thành,2466000,4.5,Sai
B02562,8/23/2023,10/31/2023,C0890,Gia đình,Gia đình,Đại lý,Thẻ,Đà Nẵng,3,3496000,10%,Hoàn thành,9395000,3.8,Sai
